store,cs_label,workload,size,edits,retention,readers,ok,p50_ms,p90_ms,p99_ms,max_ms,copied_total,meta_total,live_delta,reader_mbs,label,final_hash,logical_bytes,physical_bytes,sharing_ratio,maint_copied,cold_ok
flat,-,W1,262144,2000,1,0,1,0.1038,0.1343,0.1891,0.4141,530468897,64000,268022,0.0,p215,fb05826182115c23,535964,267982,2.00,0,-1
chunked,4096K,W1,262144,2000,1,0,1,0.0200,0.0346,0.0539,0.3103,25111,0,373370,0.0,p215,fb05826182115c23,535964,481730,1.11,0,-1
chunked,65536K,W1,262144,2000,1,0,1,0.0185,0.0372,0.0499,0.0802,25111,0,371034,0.0,p215,fb05826182115c23,535964,479330,1.12,0,-1
flat,-,W1,262144,2000,4,0,1,0.1030,0.1301,0.1806,0.4276,530468897,64000,1072100,0.0,p215,fb05826182115c23,1339946,1071964,1.25,0,-1
chunked,4096K,W1,262144,2000,4,0,1,0.0216,0.0371,0.0578,0.1897,25111,0,531114,0.0,p215,fb05826182115c23,1339946,639138,2.10,0,-1
chunked,65536K,W1,262144,2000,4,0,1,0.0184,0.0339,0.0503,0.1827,25111,0,526058,0.0,p215,fb05826182115c23,1339946,634034,2.11,0,-1
flat,-,W1,262144,2000,16,0,1,0.0219,0.0402,0.1129,0.2425,530468897,64000,4287842,0.0,p215,fb05826182115c23,4555304,4287322,1.06,0,-1
chunked,4096K,W1,262144,2000,16,0,1,0.0163,0.0333,0.0520,0.5125,25111,0,1159770,0.0,p215,fb05826182115c23,4555304,1266562,3.60,0,-1
chunked,65536K,W1,262144,2000,16,0,1,0.0190,0.0322,0.0512,0.1573,25111,0,1143770,0.0,p215,fb05826182115c23,4555304,1250514,3.64,0,-1
flat,-,W2,262144,2000,1,0,1,0.0989,0.1340,0.2015,0.3949,526289000,64000,264184,0.0,p215,7c45fdae6e71d59c,528288,264144,2.00,0,-1
chunked,4096K,W2,262144,2000,1,0,1,0.0122,0.0241,0.0355,0.1466,2000,0,353080,0.0,p215,7c45fdae6e71d59c,528288,474704,1.11,0,-1
chunked,65536K,W2,262144,2000,1,0,1,0.0100,0.0208,0.0335,0.1589,2000,0,350680,0.0,p215,7c45fdae6e71d59c,528288,472304,1.12,0,-1
flat,-,W2,262144,2000,4,0,1,0.0862,0.1194,0.1702,0.4681,526289000,64000,1056706,0.0,p215,7c45fdae6e71d59c,1320714,1056570,1.25,0,-1
chunked,4096K,W2,262144,2000,4,0,1,0.0136,0.0253,0.0423,0.3139,2000,0,471016,0.0,p215,7c45fdae6e71d59c,1320714,592304,2.23,0,-1
chunked,65536K,W2,262144,2000,4,0,1,0.0179,0.0342,0.0585,1.4636,2000,0,465736,0.0,p215,7c45fdae6e71d59c,1320714,587024,2.25,0,-1
flat,-,W2,262144,2000,16,0,1,0.0359,0.0626,0.1131,1.1235,526289000,64000,4226704,0.0,p215,7c45fdae6e71d59c,4490328,4226184,1.06,0,-1
chunked,4096K,W2,262144,2000,16,0,1,0.0168,0.0310,0.0490,0.4114,2000,0,941144,0.0,p215,7c45fdae6e71d59c,4490328,1061120,4.23,0,-1
chunked,65536K,W2,262144,2000,16,0,1,0.0152,0.0289,0.0483,0.1645,2000,0,924344,0.0,p215,7c45fdae6e71d59c,4490328,1044320,4.30,0,-1
flat,-,W1,1048576,300,1,0,1,0.4392,0.5630,0.7442,0.9245,314810995,9600,1049893,0.0,p215,c527403b08c3e836,2099706,1049853,2.00,0,-1
chunked,65536K,W1,1048576,300,1,0,1,0.0041,0.0085,0.0171,0.0281,3995,0,1066419,0.0,p215,c527403b08c3e836,2099706,1082155,1.94,0,-1
flat,-,W1,1048576,300,8,0,1,0.3725,0.4826,0.6782,0.7130,314810995,9600,8399051,0.0,p215,c527403b08c3e836,9448640,8398787,1.13,0,-1
chunked,65536K,W1,1048576,300,8,0,1,0.0048,0.0102,0.0198,0.0329,3995,0,1124995,0.0,p215,c527403b08c3e836,9448640,1139995,8.29,0,-1
flat,-,W1,1048576,300,64,0,1,0.3612,0.4371,0.5637,0.6361,314810995,9600,67187442,0.0,p215,c527403b08c3e836,68235239,67185386,1.02,0,-1
chunked,65536K,W1,1048576,300,64,0,1,0.0054,0.0123,0.0299,0.0417,3995,0,1544867,0.0,p215,c527403b08c3e836,68235239,1554299,43.90,0,-1
flat,-,W5,1048576,300,1,0,1,0.3680,0.4860,0.5740,0.5969,317778165,9600,1069531,0.0,p215,e182923e248ce895,2138982,1069491,2.00,0,-1
chunked,65536K,W5,1048576,300,1,0,1,0.0030,0.0082,0.0225,0.0863,40651,0,1100317,0.0,p215,e182923e248ce895,2138982,1118037,1.91,0,-1
